2024-10-08 08:37:40,606 INFO    StreamThr :9188 [internal.py:wandb_internal():85] W&B internal server running at pid: 9188, started at: 2024-10-08 08:37:40.606391
2024-10-08 08:37:40,608 DEBUG   HandlerThread:9188 [handler.py:handle_request():158] handle_request: status
2024-10-08 08:37:40,609 INFO    WriterThread:9188 [datastore.py:open_for_write():87] open: /home/moonlab/decision_transformer/decision_tr/src/wandb/run-20241008_083740-bmap2ug2/run-bmap2ug2.wandb
2024-10-08 08:37:40,609 DEBUG   SenderThread:9188 [sender.py:send():391] send: header
2024-10-08 08:37:40,610 DEBUG   SenderThread:9188 [sender.py:send():391] send: run
2024-10-08 08:37:41,313 INFO    SenderThread:9188 [dir_watcher.py:__init__():211] watching files in: /home/moonlab/decision_transformer/decision_tr/src/wandb/run-20241008_083740-bmap2ug2/files
2024-10-08 08:37:41,313 INFO    SenderThread:9188 [sender.py:_start_run_threads():1200] run started: bmap2ug2 with start time 1728356860.606026
2024-10-08 08:37:41,318 DEBUG   HandlerThread:9188 [handler.py:handle_request():158] handle_request: run_start
2024-10-08 08:37:41,322 DEBUG   HandlerThread:9188 [system_info.py:__init__():26] System info init
2024-10-08 08:37:41,322 DEBUG   HandlerThread:9188 [system_info.py:__init__():41] System info init done
2024-10-08 08:37:41,322 INFO    HandlerThread:9188 [system_monitor.py:start():194] Starting system monitor
2024-10-08 08:37:41,322 INFO    SystemMonitor:9188 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-10-08 08:37:41,322 INFO    HandlerThread:9188 [system_monitor.py:probe():214] Collecting system info
2024-10-08 08:37:41,323 INFO    SystemMonitor:9188 [interfaces.py:start():188] Started cpu monitoring
2024-10-08 08:37:41,323 INFO    SystemMonitor:9188 [interfaces.py:start():188] Started disk monitoring
2024-10-08 08:37:41,324 INFO    SystemMonitor:9188 [interfaces.py:start():188] Started gpu monitoring
2024-10-08 08:37:41,324 INFO    SystemMonitor:9188 [interfaces.py:start():188] Started memory monitoring
2024-10-08 08:37:41,325 INFO    SystemMonitor:9188 [interfaces.py:start():188] Started network monitoring
2024-10-08 08:37:41,334 DEBUG   HandlerThread:9188 [system_info.py:probe():152] Probing system
2024-10-08 08:37:41,336 DEBUG   HandlerThread:9188 [system_info.py:_probe_git():137] Probing git
2024-10-08 08:37:41,341 DEBUG   HandlerThread:9188 [system_info.py:_probe_git():145] Probing git done
2024-10-08 08:37:41,341 DEBUG   HandlerThread:9188 [system_info.py:probe():200] Probing system done
