2024-10-24 14:03:11,263 INFO    StreamThr :22423 [internal.py:wandb_internal():85] W&B internal server running at pid: 22423, started at: 2024-10-24 14:03:11.262917
2024-10-24 14:03:11,264 DEBUG   HandlerThread:22423 [handler.py:handle_request():158] handle_request: status
2024-10-24 14:03:11,264 INFO    WriterThread:22423 [datastore.py:open_for_write():87] open: /home/moonlab/decision_transformer/decision_tr/src/wandb/run-20241024_140311-kfhgubob/run-kfhgubob.wandb
2024-10-24 14:03:11,266 DEBUG   SenderThread:22423 [sender.py:send():391] send: header
2024-10-24 14:03:11,269 DEBUG   SenderThread:22423 [sender.py:send():391] send: run
2024-10-24 14:03:12,007 INFO    SenderThread:22423 [dir_watcher.py:__init__():211] watching files in: /home/moonlab/decision_transformer/decision_tr/src/wandb/run-20241024_140311-kfhgubob/files
2024-10-24 14:03:12,007 INFO    SenderThread:22423 [sender.py:_start_run_threads():1200] run started: kfhgubob with start time 1729758791.2629
2024-10-24 14:03:12,011 DEBUG   HandlerThread:22423 [handler.py:handle_request():158] handle_request: run_start
2024-10-24 14:03:12,017 DEBUG   HandlerThread:22423 [system_info.py:__init__():26] System info init
2024-10-24 14:03:12,017 DEBUG   HandlerThread:22423 [system_info.py:__init__():41] System info init done
2024-10-24 14:03:12,017 INFO    HandlerThread:22423 [system_monitor.py:start():194] Starting system monitor
2024-10-24 14:03:12,017 INFO    SystemMonitor:22423 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-10-24 14:03:12,017 INFO    HandlerThread:22423 [system_monitor.py:probe():214] Collecting system info
2024-10-24 14:03:12,018 INFO    SystemMonitor:22423 [interfaces.py:start():188] Started cpu monitoring
2024-10-24 14:03:12,018 INFO    SystemMonitor:22423 [interfaces.py:start():188] Started disk monitoring
2024-10-24 14:03:12,019 INFO    SystemMonitor:22423 [interfaces.py:start():188] Started gpu monitoring
2024-10-24 14:03:12,019 INFO    SystemMonitor:22423 [interfaces.py:start():188] Started memory monitoring
2024-10-24 14:03:12,019 INFO    SystemMonitor:22423 [interfaces.py:start():188] Started network monitoring
2024-10-24 14:03:12,024 DEBUG   HandlerThread:22423 [system_info.py:probe():152] Probing system
2024-10-24 14:03:12,027 DEBUG   HandlerThread:22423 [system_info.py:_probe_git():137] Probing git
2024-10-24 14:03:12,032 DEBUG   HandlerThread:22423 [system_info.py:_probe_git():145] Probing git done
2024-10-24 14:03:12,032 DEBUG   HandlerThread:22423 [system_info.py:probe():200] Probing system done
