2024-10-07 17:58:18,104 INFO    StreamThr :118847 [internal.py:wandb_internal():85] W&B internal server running at pid: 118847, started at: 2024-10-07 17:58:18.103630
2024-10-07 17:58:18,106 DEBUG   HandlerThread:118847 [handler.py:handle_request():158] handle_request: status
2024-10-07 17:58:18,106 INFO    WriterThread:118847 [datastore.py:open_for_write():87] open: /home/moonlab/decision_transformer/decision_tr/src/wandb/run-20241007_175818-65aj1kig/run-65aj1kig.wandb
2024-10-07 17:58:18,107 DEBUG   SenderThread:118847 [sender.py:send():391] send: header
2024-10-07 17:58:18,108 DEBUG   SenderThread:118847 [sender.py:send():391] send: run
2024-10-07 17:58:18,783 INFO    SenderThread:118847 [dir_watcher.py:__init__():211] watching files in: /home/moonlab/decision_transformer/decision_tr/src/wandb/run-20241007_175818-65aj1kig/files
2024-10-07 17:58:18,783 INFO    SenderThread:118847 [sender.py:_start_run_threads():1200] run started: 65aj1kig with start time 1728304098.103464
2024-10-07 17:58:18,790 DEBUG   HandlerThread:118847 [handler.py:handle_request():158] handle_request: run_start
2024-10-07 17:58:18,795 DEBUG   HandlerThread:118847 [system_info.py:__init__():26] System info init
2024-10-07 17:58:18,795 DEBUG   HandlerThread:118847 [system_info.py:__init__():41] System info init done
2024-10-07 17:58:18,795 INFO    HandlerThread:118847 [system_monitor.py:start():194] Starting system monitor
2024-10-07 17:58:18,795 INFO    SystemMonitor:118847 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-10-07 17:58:18,795 INFO    HandlerThread:118847 [system_monitor.py:probe():214] Collecting system info
2024-10-07 17:58:18,795 INFO    SystemMonitor:118847 [interfaces.py:start():188] Started cpu monitoring
2024-10-07 17:58:18,796 INFO    SystemMonitor:118847 [interfaces.py:start():188] Started disk monitoring
2024-10-07 17:58:18,797 INFO    SystemMonitor:118847 [interfaces.py:start():188] Started gpu monitoring
2024-10-07 17:58:18,797 INFO    SystemMonitor:118847 [interfaces.py:start():188] Started memory monitoring
2024-10-07 17:58:18,797 INFO    SystemMonitor:118847 [interfaces.py:start():188] Started network monitoring
2024-10-07 17:58:18,807 DEBUG   HandlerThread:118847 [system_info.py:probe():152] Probing system
2024-10-07 17:58:18,810 DEBUG   HandlerThread:118847 [system_info.py:_probe_git():137] Probing git
2024-10-07 17:58:18,815 DEBUG   HandlerThread:118847 [system_info.py:_probe_git():145] Probing git done
2024-10-07 17:58:18,815 DEBUG   HandlerThread:118847 [system_info.py:probe():200] Probing system done
