2024-10-07 17:56:27,163 INFO    StreamThr :117399 [internal.py:wandb_internal():85] W&B internal server running at pid: 117399, started at: 2024-10-07 17:56:27.162681
2024-10-07 17:56:27,165 DEBUG   HandlerThread:117399 [handler.py:handle_request():158] handle_request: status
2024-10-07 17:56:27,165 INFO    WriterThread:117399 [datastore.py:open_for_write():87] open: /home/moonlab/decision_transformer/decision_tr/src/wandb/run-20241007_175627-wbi8ua3a/run-wbi8ua3a.wandb
2024-10-07 17:56:27,166 DEBUG   SenderThread:117399 [sender.py:send():391] send: header
2024-10-07 17:56:27,166 DEBUG   SenderThread:117399 [sender.py:send():391] send: run
2024-10-07 17:56:27,809 INFO    SenderThread:117399 [dir_watcher.py:__init__():211] watching files in: /home/moonlab/decision_transformer/decision_tr/src/wandb/run-20241007_175627-wbi8ua3a/files
2024-10-07 17:56:27,809 INFO    SenderThread:117399 [sender.py:_start_run_threads():1200] run started: wbi8ua3a with start time 1728303987.162459
2024-10-07 17:56:27,814 DEBUG   HandlerThread:117399 [handler.py:handle_request():158] handle_request: run_start
2024-10-07 17:56:27,819 DEBUG   HandlerThread:117399 [system_info.py:__init__():26] System info init
2024-10-07 17:56:27,819 DEBUG   HandlerThread:117399 [system_info.py:__init__():41] System info init done
2024-10-07 17:56:27,819 INFO    HandlerThread:117399 [system_monitor.py:start():194] Starting system monitor
2024-10-07 17:56:27,819 INFO    SystemMonitor:117399 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-10-07 17:56:27,819 INFO    HandlerThread:117399 [system_monitor.py:probe():214] Collecting system info
2024-10-07 17:56:27,820 INFO    SystemMonitor:117399 [interfaces.py:start():188] Started cpu monitoring
2024-10-07 17:56:27,820 INFO    SystemMonitor:117399 [interfaces.py:start():188] Started disk monitoring
2024-10-07 17:56:27,820 INFO    SystemMonitor:117399 [interfaces.py:start():188] Started gpu monitoring
2024-10-07 17:56:27,820 INFO    SystemMonitor:117399 [interfaces.py:start():188] Started memory monitoring
2024-10-07 17:56:27,821 INFO    SystemMonitor:117399 [interfaces.py:start():188] Started network monitoring
2024-10-07 17:56:27,831 DEBUG   HandlerThread:117399 [system_info.py:probe():152] Probing system
2024-10-07 17:56:27,833 DEBUG   HandlerThread:117399 [system_info.py:_probe_git():137] Probing git
2024-10-07 17:56:27,839 DEBUG   HandlerThread:117399 [system_info.py:_probe_git():145] Probing git done
2024-10-07 17:56:27,839 DEBUG   HandlerThread:117399 [system_info.py:probe():200] Probing system done
