2024-09-14 20:23:06,044 INFO    StreamThr :92602 [internal.py:wandb_internal():85] W&B internal server running at pid: 92602, started at: 2024-09-14 20:23:06.044532
2024-09-14 20:23:06,046 DEBUG   HandlerThread:92602 [handler.py:handle_request():158] handle_request: status
2024-09-14 20:23:06,047 INFO    WriterThread:92602 [datastore.py:open_for_write():87] open: /home/moonlab/decision_transformer/decision_tr/src/wandb/run-20240914_202306-b4m3nkdh/run-b4m3nkdh.wandb
2024-09-14 20:23:06,047 DEBUG   SenderThread:92602 [sender.py:send():391] send: header
2024-09-14 20:23:06,049 DEBUG   SenderThread:92602 [sender.py:send():391] send: run
2024-09-14 20:23:06,766 INFO    SenderThread:92602 [dir_watcher.py:__init__():211] watching files in: /home/moonlab/decision_transformer/decision_tr/src/wandb/run-20240914_202306-b4m3nkdh/files
2024-09-14 20:23:06,766 INFO    SenderThread:92602 [sender.py:_start_run_threads():1200] run started: b4m3nkdh with start time 1726325586.044565
2024-09-14 20:23:06,770 DEBUG   HandlerThread:92602 [handler.py:handle_request():158] handle_request: run_start
2024-09-14 20:23:06,776 DEBUG   HandlerThread:92602 [system_info.py:__init__():26] System info init
2024-09-14 20:23:06,777 DEBUG   HandlerThread:92602 [system_info.py:__init__():41] System info init done
2024-09-14 20:23:06,777 INFO    HandlerThread:92602 [system_monitor.py:start():194] Starting system monitor
2024-09-14 20:23:06,777 INFO    SystemMonitor:92602 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-09-14 20:23:06,777 INFO    HandlerThread:92602 [system_monitor.py:probe():214] Collecting system info
2024-09-14 20:23:06,777 INFO    SystemMonitor:92602 [interfaces.py:start():188] Started cpu monitoring
2024-09-14 20:23:06,778 INFO    SystemMonitor:92602 [interfaces.py:start():188] Started disk monitoring
2024-09-14 20:23:06,778 INFO    SystemMonitor:92602 [interfaces.py:start():188] Started gpu monitoring
2024-09-14 20:23:06,778 INFO    SystemMonitor:92602 [interfaces.py:start():188] Started memory monitoring
2024-09-14 20:23:06,779 INFO    SystemMonitor:92602 [interfaces.py:start():188] Started network monitoring
2024-09-14 20:23:06,788 DEBUG   HandlerThread:92602 [system_info.py:probe():152] Probing system
2024-09-14 20:23:06,791 DEBUG   HandlerThread:92602 [system_info.py:_probe_git():137] Probing git
2024-09-14 20:23:06,796 DEBUG   HandlerThread:92602 [system_info.py:_probe_git():145] Probing git done
2024-09-14 20:23:06,796 DEBUG   HandlerThread:92602 [system_info.py:probe():200] Probing system done
